"census.tract","priority"
"015700",-0.1666209292
"015900",0.1007903944
"016000",0.2586350474
"016100",-0.2883101688
"016200",0.2537272857
"027800",0.7250753838
"027900",0.2024150998
"028000",0.5443100435
"028100",0.1131054199
"082000",0.1465151359
"082200",0.0188228324
"082400",0.3466547796
"082600",0.8664558762
"082800",0.6540271267
"083000",0.1467513758
"083200",0.2125621987
"083400",0.384877751
"083600",0.2665700498
"083800",0.353797426
"084000",0.1540179347
"084600",0.4227285152
"084800",0.4033593309
"085000",0.3197446817
"085200",0
"085400",0.2119854349
"085600",0.164546166
"085800",0.2021469043
"086000",0.1888664247
"086200",0.4639159059
"086400",0.3376165962
"086600",0.3584707249
"086800",0.5046918957
"118201",0.2695745931
"118202",0.2419086892
"118400",0.1888240994
"118600",0.414296369
"118800",0.4198475603
"119200",0.328556987
"119400",0.1737161584
"119600",0.2461236393
"120000",0.2362112259
"120800",0.301608511
"121000",0.61433752
"121400",-0.257502823
"122000",0.574320036
"054600",-0.2786008582
"120200",0.6303099109
"072600",0.2212630608
"004600",0.0850662479
"061002",0.4249588588
"061600",-0.1768291876
"067200",0.2321348258
"067400",0.3047070498
"067600",0.1035680996
"067800",-0.0524477471
"051002",-0.9187243585
"051601",-0.1926851008
"017000",0.517163254
"017100",-0.0217079764
"017200",0.5578616492
"017400",0.3221317442
"017500",0
"017600",0.4929520521
"017700",0
"017800",0.5045610643
"017900",-0.5151770837
"018000",0.2934582
"018100",0.1282860861
"018200",0.5857228951
"018300",-0.10197266
"018400",0.5093040476
"018501",-0.4032795073
"018600",0.4352336199
"018700",-0.2751079721
"087000",0.0562984663
"091000",-0.0567391619
"091200",-0.1245775991
"091600",0.2473149536
"091800",-0.032017822
"092000",0.2880354798
"092200",0.3665995717
"092800",0.5701033435
"068000",0.0982729621
"068200",0.1662186772
"068600",-0.3133182008
"068800",0.3606755612
"069000",0.1799749273
"069200",-0.2216322178
"069800",0.1220415065
"070000",-0.1822868798
"070201",-0.481641467
"070202",0
"070203",0
"070600",-0.452544857
"072000",-0.8117374159
"072200",0.0531143197
"072400",-0.1201235759
"072800",-0.0326423398
"073000",0.0884570265
"073200",0.045931022
"073400",0.1839423447
"073600",0.0207954162
"073800",-0.1323968111
"074000",0.034000854
"074200",0.0761661368
"074400",0.1782548968
"068000",0.089034208
"068200",-0.037742328
"068300",0.2414137066
"068700",0.0250036792
"069000",0.0543595866
"069300",0.0471294922
"069400",0.1818333838
"069500",0.0017440515
"069701",-0.0826030355
"069702",0.0061348865
"070300",-0.3202520422
